No.,Mark,Card name,Type,Rarity
001/071,F,Paras,Grass,C
002/071,F,Parasect,Grass,U
003/071,F,Hisuian ElectrodeV,Grass,RR
004/071,F,Wurmple,Grass,C
005/071,F,Silcoon,Grass,C
006/071,F,Beautifly,Grass,R
007/071,F,Cascoon,Grass,C
008/071,F,Dustox,Grass,U
009/071,F,Snover,Water,C
010/071,F,Abomasnow,Water,C
011/071,F,Phione,Water,U
012/071,F,Hisuian Basculin,Water,C
013/071,F,Hisuian Basculegion,Water,R
014/071,F,Pikachu,Lightning,C
015/071,F,Raichu,Lightning,U
016/071,F,MagnezoneV,Lightning,RR
017/071,F,MagnezoneVSTAR,Lightning,RRR
018/071,F,Rotom,Lightning,C
019/071,F,Clefairy,Psychic,C
020/071,F,Clefable,Psychic,U
021/071,F,Gastly,Psychic,C
022/071,F,Haunter,Psychic,C
023/071,F,Gengar,Psychic,R
024/071,F,Mr. Mime,Psychic,U
025/071,F,Misdreavus,Psychic,C
026/071,F,Mismagius,Psychic,U
027/071,F,Radiant Gardevoir,Psychic,K
028/071,F,Chimecho,Psychic,C
029/071,F,Hisuian Zorua,Psychic,C
030/071,F,Hisuian Zoroark,Psychic,R
031/071,F,EnamorusV,Psychic,RR
032/071,F,Hisuian Growlithe,Fighting,C
033/071,F,Hisuian Arcanine,Fighting,R
034/071,F,Machop,Fighting,C
035/071,F,Machoke,Fighting,U
036/071,F,Machamp,Fighting,R
037/071,F,Sudowoodo,Fighting,C
038/071,F,Gligar,Fighting,C
039/071,F,Gliscor,Fighting,U
040/071,F,GalladeV,Fighting,RR
041/071,F,Zubat,Darkness,C
042/071,F,Golbat,Darkness,C
043/071,F,Crobat,Darkness,R
044/071,F,Murkrow,Darkness,C
045/071,F,Honchkrow,Darkness,U
046/071,F,Radiant Hisuian Sneasler,Darkness,K
047/071,F,Spiritomb,Darkness,U
048/071,F,Croagunk,Darkness,C
049/071,F,Toxicroak,Darkness,U
050/071,F,Radiant Steelix,Metal,K
051/071,F,Bronzor,Metal,C
052/071,F,Bronzong,Metal,U
053/071,F,Goomy,Dragon,C
054/071,F,Hisuian Sliggoo,Dragon,U
055/071,F,Hisuian Goodra,Dragon,R
056/071,F,Hisuian GoodraV,Dragon,RR
057/071,F,Hisuian GoodraVSTAR,Dragon,RRR
058/071,F,Snorlax,Colorless,R
059/071,F,Aipom,Colorless,C
060/071,F,Ambipom,Colorless,U
061/071,F,Hisuian ZoroarkV,Colorless,RR
062/071,F,Hisuian ZoroarkVSTAR,Colorless,RRR
063/071,F,Arc Phone,I,U
064/071,F,Damage Pump,I,U
065/071,F,Windup Arm,I,U
066/071,F,Box of Disaster,I,U
067/071,F,Volo,Su,R
068/071,F,Iscan,Su,U
069/071,F,Arezu,Su,U
070/071,F,Miss Fortune Sisters,Su,U
071/071,F,Lake Acuity,St,U
072/071,F,Parasect,Grass,CHR
073/071,F,Pikachu,Lightning,CHR
074/071,F,Gengar,Psychic,CHR
075/071,F,Hisuian Arcanine,Fighting,CHR
076/071,F,Spiritomb,Darkness,CHR
077/071,F,Snorlax,Colorless,CHR
078/071,F,Hisuian ElectrodeV,Grass,SR
079/071,F,MagnezoneV,Lightning,SR
080/071,F,EnamorusV,Psychic,SR
081/071,F,GalladeV,Fighting,SR
082/071,F,Hisuian GoodraV,Dragon,SR
083/071,F,Hisuian ZoroarkV,Colorless,SR
084/071,F,Volo,Su,SR
085/071,F,Iscan,Su,SR
086/071,F,Arezu,Su,SR
087/071,F,Miss Fortune Sisters,Su,SR
088/071,F,EnamorusV,Psychic,CSR
089/071,F,GalladeV,Fighting,CSR
090/071,F,MagnezoneVSTAR,Lightning,HR
091/071,F,Hisuian GoodraVSTAR,Dragon,HR
092/071,F,Hisuian ZoroarkVSTAR,Colorless,HR
093/071,F,Volo,Su,HR
094/071,F,Iscan,Su,HR
095/071,F,Arezu,Su,HR
096/071,F,Miss Fortune Sisters,Su,HR
097/071,F,Hisuian ZoroarkVSTAR,Colorless,UR
098/071,F,Dark Patch,I,UR
099/071,F,Box of Disaster,I,UR
