No.,Mark,Card name,Type,Rarity
001/078,G,Pineco,Grass,C
002/078,G,Heracross,Grass,U
003/078,G,Scatterbug,Grass,C
004/078,G,Spewpa,Grass,C
005/078,G,Vivillon,Grass,U
006/078,G,Tarountula,Grass,C
007/078,G,Tarountula,Grass,C
008/078,G,Spidopsex,Grass,RR
009/078,G,Toedscool,Grass,C
010/078,G,Toedscool,Grass,C
011/078,G,Toedscruel,Grass,U
012/078,G,Capsakid,Grass,C
013/078,G,Capsakid,Grass,C
014/078,G,Scovillain,Grass,U
015/078,G,Growlithe,Fire,C
016/078,G,Arcanineex,Fire,RR
017/078,G,Houndour,Fire,C
018/078,G,Houndoom,Fire,C
019/078,G,Slowpoke,Water,C
020/078,G,Slowbro,Water,R
021/078,G,Clauncher,Water,C
022/078,G,Clawitzer,Water,C
023/078,G,Cetoddle,Water,C
024/078,G,Cetoddle,Water,C
025/078,G,Cetitan,Water,U
026/078,G,Magnemite,Lightning,C
027/078,G,Magneton,Lightning,C
028/078,G,Magnezoneex,Lightning,RR
029/078,G,Pachirisu,Lightning,U
030/078,G,Rotom,Lightning,C
031/078,G,Toxel,Lightning,C
032/078,G,Toxtricity,Lightning,U
033/078,G,Pawmi,Lightning,C
034/078,G,Pawmi,Lightning,C
035/078,G,Pawmo,Lightning,C
036/078,G,Pawmot,Lightning,R
037/078,G,Miraidonex,Lightning,RR
038/078,G,Drowzee,Psychic,C
039/078,G,Hypno,Psychic,U
040/078,G,Shuppet,Psychic,C
041/078,G,Banetteex,Psychic,RR
042/078,G,Flabébé,Psychic,C
043/078,G,Floette,Psychic,C
044/078,G,Florges,Psychic,U
045/078,G,Klefki,Psychic,R
046/078,G,Greavard,Psychic,C
047/078,G,Greavard,Psychic,C
048/078,G,Houndstone,Psychic,R
049/078,G,Mankey,Fighting,C
050/078,G,Primeape,Fighting,C
051/078,G,Annihilape,Fighting,R
052/078,G,Spiritomb,Darkness,U
053/078,G,Maschiff,Darkness,C
054/078,G,Maschiff,Darkness,C
055/078,G,Mabosstiff,Darkness,U
056/078,G,Bombirdier,Darkness,U
057/078,G,Forretress,Metal,U
058/078,G,Iron Treadsex,Metal,RR
059/078,G,Chansey,Colorless,C
060/078,G,Blissey,Colorless,U
061/078,G,Skwovet,Colorless,C
062/078,G,Greedent,Colorless,U
063/078,G,Indeedee,Colorless,R
064/078,G,Tandemaus,Colorless,C
065/078,G,Tandemaus,Colorless,C
066/078,G,Maushold,Colorless,U
067/078,G,Squawkabilly,Colorless,C
068/078,G,Cyclizar,Colorless,R
069/078,G,Electric Generator,I,U
070/078,G,Ultra Ball,I,U
071/078,G,Picnic Basket,I,U
072/078,G,Rare Candy,I,U
073/078,G,Rocky Helmet,PT,U
074/078,G,Katy,Su,U
075/078,G,Professor's Research [Professor Turo],Su,R
076/078,G,Arven,Su,U
077/078,G,Miriam,Su,U
078/078,G,Mesagoza,St,U
079/078,G,Tarountula,Grass,AR
080/078,G,Toedscool,Grass,AR
081/078,G,Scovillain,Grass,AR
082/078,G,Slowpoke,Water,AR
083/078,G,Clauncher,Water,AR
084/078,G,Pachirisu,Lightning,AR
085/078,G,Pawmot,Lightning,AR
086/078,G,Drowzee,Psychic,AR
087/078,G,Greavard,Psychic,AR
088/078,G,Mabosstiff,Darkness,AR
089/078,G,Bombirdier,Darkness,AR
090/078,G,Skwovet,Colorless,AR
091/078,G,Spidopsex,Grass,SR
092/078,G,Arcanineex,Fire,SR
093/078,G,Magnezoneex,Lightning,SR
094/078,G,Miraidonex,Lightning,SR
095/078,G,Banetteex,Psychic,SR
096/078,G,Iron Treadsex,Metal,SR
097/078,G,Katy,Su,SR
098/078,G,Professor's Research [Professor Turo],Su,SR
099/078,G,Arven,Su,SR
100/078,G,Miriam,Su,SR
101/078,G,Spidopsex,Grass,SAR
102/078,G,Miraidonex,Lightning,SAR
103/078,G,Iron Treadsex,Metal,SAR
104/078,G,Arven,Su,SAR
105/078,G,Miriam,Su,SAR
106/078,G,Miraidonex,Lightning,UR
107/078,G,Rare Candy,I,UR
108/078,—,Basic Lightning Energy,Lightning E,UR
