No.,Mark,Card name,Type,Rarity
001/066,H,Tangela,Grass,C
002/066,H,Tangrowth,Grass,C
003/066,H,Pinsir,Grass,C
004/066,H,Spinarak,Grass,C
005/066,H,Ariados,Grass,U
006/066,H,Leafeon,Grass,U
007/066,H,Iron Leaves,Grass,R
008/066,H,Poltchageist,Grass,C
009/066,H,Sinistchaex,Grass,RR
010/066,H,Vulpix,Fire,C
011/066,H,Ninetales,Fire,C
012/066,H,Slugma,Fire,C
013/066,H,Magcargoex,Fire,RR
014/066,H,Torkoal,Fire,C
015/066,H,Chimchar,Fire,C
016/066,H,Monferno,Fire,C
017/066,H,Infernape,Fire,R
018/066,H,Chi-Yu,Fire,U
019/066,H,Corphish,Water,C
020/066,H,Crawdaunt,Water,C
021/066,H,Glaceon,Water,U
022/066,H,Phione,Water,C
023/066,H,Froakie,Water,C
024/066,H,Frogadier,Water,C
025/066,H,Cramorant,Water,U
026/066,H,Walking Wake,Water,R
027/066,H,Zapdos,Lightning,R
028/066,H,Helioptile,Lightning,C
029/066,H,Heliolisk,Lightning,C
030/066,H,Morpeko,Lightning,U
031/066,H,Tadbulb,Lightning,C
032/066,H,Bellibolt,Lightning,U
033/066,H,Iron Thornsex,Lightning,RR
034/066,H,Girafarig,Psychic,C
035/066,H,Farigiraf,Psychic,U
036/066,H,Flabébé,Psychic,C
037/066,H,Floette,Psychic,C
038/066,H,Florges,Psychic,U
039/066,H,Enamorus,Psychic,R
040/066,H,Scream Tailex,Psychic,RR
041/066,H,Hisuian Growlithe,Fighting,C
042/066,H,Hisuian Arcanine,Fighting,R
043/066,H,Nosepass,Fighting,C
044/066,H,Probopass,Fighting,U
045/066,H,Greninjaex,Fighting,RR
046/066,H,Hawlucha,Fighting,C
047/066,H,Ting-Lu,Fighting,R
048/066,H,Applin,Dragon,C
049/066,H,Dipplin,Dragon,U
050/066,H,Eevee,Colorless,C
051/066,H,Snorlax,Colorless,U
052/066,H,Bloodmoon Ursalunaex,Colorless,RR
053/066,H,Unfair Stamp,I,ACE
054/066,H,Enhanced Hammer,I,U
055/066,H,Hyper Aroma,I,ACE
056/066,G,Switch,I,U
057/066,G,Pokémon Catcher,I,U
058/066,H,Love Ball,I,U
059/066,H,Survival Brace,PT,ACE
060/066,H,Lucky Helmet,PT,U
061/066,H,Caretaker,Su,C
062/066,H,Lucian,Su,U
063/066,H,Perrin,Su,U
064/066,H,Lana's Aid,Su,U
065/066,H,Community Center,St,U
066/066,H,Boomerang Energy,Colorless E,U
067/066,H,Pinsir,Grass,AR
068/066,H,Poltchageist,Grass,AR
069/066,H,Torkoal,Fire,AR
070/066,H,Infernape,Fire,AR
071/066,H,Phione,Water,AR
072/066,H,Cramorant,Water,AR
073/066,H,Heliolisk,Lightning,AR
074/066,H,Enamorus,Psychic,AR
075/066,H,Hisuian Growlithe,Fighting,AR
076/066,H,Probopass,Fighting,AR
077/066,H,Applin,Dragon,AR
078/066,H,Eevee,Colorless,AR
079/066,H,Sinistchaex,Grass,SR
080/066,H,Magcargoex,Fire,SR
081/066,H,Iron Thornsex,Lightning,SR
082/066,H,Scream Tailex,Psychic,SR
083/066,H,Greninjaex,Fighting,SR
084/066,H,Bloodmoon Ursalunaex,Colorless,SR
085/066,H,Caretaker,Su,SR
086/066,H,Lucian,Su,SR
087/066,H,Perrin,Su,SR
088/066,H,Lana's Aid,Su,SR
089/066,H,Sinistchaex,Grass,SAR
090/066,H,Greninjaex,Fighting,SAR
091/066,H,Bloodmoon Ursalunaex,Colorless,SAR
092/066,H,Perrin,Su,SAR
093/066,H,Lana's Aid,Su,SAR
094/066,H,Bloodmoon Ursalunaex,Colorless,UR
095/066,H,Rescue Board,PT,UR
096/066,G,Luminous Energy,Rainbow E,UR
